,Unnamed: 0.1,Unnamed: 0,recipe_urls,recipe_name,ingredients,url,images url
2816,3673,4530,https://www.allrecipes.com/recipe/23875/spicy-chicken-thai-noodle-soup/,Spicy Chicken Thai Noodle Soup Recipe - Allrecipes.com,"[""1 cup water"",""1 cup white wine"",""1 fresh red chile pepper, seeded and chopped"",""1 onion, chopped"",""1 tablespoon curry powder"",""1 teaspoon ground black pepper"",""1 teaspoon ground cayenne pepper"",""1/2 (12 ounce) package dried rice noodles"",""1/2 tablespoon dried oregano"",""1/2 tablespoon dried sage"",""1/2 tablespoon poultry seasoning"",""1/2 teaspoon salt"",""2 tablespoons vegetable oil"",""3 cloves garlic, chopped"",""3 green onions, chopped"",""3 skinless, boneless chicken breast halves - cut into 1 inch cubes"",""4 large carrots, cut into 1 inch pieces"",""4 large stalks celery, cut into 1 inch pieces"",""5 cups chicken broth""]",,
2817,3674,4531,https://www.allrecipes.com/recipe/213802/yellow-mung-bean-pudding-with-coconut-cream/,Yellow Mung Bean Pudding with Coconut Cream Recipe - Allrecipes.com,"[""1 cup unsweetened coconut cream"",""1/2 teaspoon salt"",""1/3 cup tapioca flour"",""3 1/2 cups water"",""3/4 cup water"",""3/4 cup white sugar"",""4 cups hulled yellow mung beans""]",,
2818,3675,4532,https://www.allrecipes.com/recipe/199255/pad-kee-mao/,Pad Kee Mao Recipe - Allrecipes.com,"[""1 1/2 teaspoons olive oil"",""1 serrano pepper, minced, or more to taste"",""1 teaspoon salt"",""1 teaspoon white sugar"",""1/2 cup bean sprouts"",""1/2 pound pork (any cut), thinly sliced"",""1/2 teaspoon thick soy sauce"",""2 cloves garlic, minced"",""2 teaspoons white sugar"",""3 1/2 ounces dried Thai-style rice noodles, wide (such as Chantaboon Rice Noodles)"",""30 fresh basil leaves, chopped""]",,
2819,3676,4533,https://www.allrecipes.com/recipe/246806/tom-byoo-sour-fish-soup/,Tom Byoo (Sour Fish Soup) Recipe - Allrecipes.com,"[""1 (1 inch) piece fresh ginger, peeled and sliced into disks, or more to taste"",""1 (1 inch) piece galangal, peeled and sliced into disks, or more to taste"",""1 (10 ounce) trout, scales removed and fish cut into steaks"",""1/4 cup chopped fresh cilantro, or to taste"",""1/4 cup tamarind juice, or more to taste"",""2 kaffir lime leaves, torn"",""2 shallots, crushed"",""2 stalks lemon grass, cut into 2-inch pieces and crushed"",""2 tablespoons fish sauce, or more to taste"",""3 cups fish stock"",""5 Thai chile peppers, crushed"",""5 cherry tomatoes, halved""]",,
2820,3677,4534,https://www.allrecipes.com/recipe/135461/steamed-lemon-grass-crab-legs/,Steamed Lemon Grass Crab Legs Recipe - Allrecipes.com,"[""1 (1 inch) piece fresh ginger root, crushed"",""1 stalk lemon grass, crushed"",""1 tablespoon oyster sauce"",""2 pounds frozen cooked Alaskan king crab legs, thawed"",""2 tablespoons fish sauce"",""2 tablespoons vegetable oil"",""3 cloves garlic clove, pressed"",""salt and pepper to taste""]",,
2821,3678,4535,https://www.allrecipes.com/recipe/86091/madis-mushrooms/,Madi's Mushrooms Recipe - Allrecipes.com,"[""2 tablespoons basil pesto"",""2 teaspoons Thai seasoning"",""6 ounces chopped fresh mushrooms""]",,
2822,3679,4536,https://www.allrecipes.com/recipe/71145/thai-chicken-pizza/,Thai Chicken Pizza Recipe - Allrecipes.com,"[""1 (12 inch) pre-baked pizza crust"",""1 (7 ounce) jar peanut sauce"",""1 bunch green onions, chopped"",""1 cup shredded Italian cheese blend"",""1 tablespoon chopped roasted peanuts (optional)"",""1/2 cup fresh bean sprouts (optional)"",""1/2 cup shredded carrot (optional)"",""1/4 cup peanut butter"",""8 ounces cooked skinless, boneless chicken breast halves, cut into strips""]",,
2823,3680,4537,https://www.allrecipes.com/recipe/260239/nam-sod-thai-pork-salad/,Nam Sod (Thai Pork Salad) Recipe - Allrecipes.com,"[""1 (10 ounce) package romaine lettuce hearts"",""1 cup finely chopped fresh ginger"",""1 cup unsalted roasted peanuts"",""1 onion, halved and sliced very thin"",""1 red onion, sliced very thin"",""1/4 cup fish sauce"",""12 fresh red or green Thai peppers, seeded and chopped, or to taste"",""2 cups fresh lime juice"",""2 pounds fresh ground lean pork, or more to taste"",""2 tablespoons dried chile flakes"",""2 tablespoons fish sauce"",""4 cups chopped fresh mint"",""6 green onions, coarsely sliced, or more to taste"",""6 shallots, sliced very thin, or more to taste"",""Dressing:""]",,
2824,3681,4538,https://www.allrecipes.com/recipe/68817/green-curry-thai-for-kings/,Green Curry Thai for Kings Recipe - Allrecipes.com,"[""1 (10 ounce) can coconut milk"",""1 (15 ounce) can baby corn, drained"",""1 (4 ounce) can water chestnuts, drained"",""1 1/2 tablespoons green curry paste"",""1 bunch fresh Thai basil leaves, torn"",""1 pound skinless, boneless chicken breast halves - cut into strips"",""1 tablespoon finely chopped fresh ginger"",""2 tablespoons canola oil"",""3 cloves garlic, sliced"",""3 shallots, finely chopped"",""5 stalks lemon grass"",""salt and pepper to taste""]",,
2825,3682,4539,https://www.allrecipes.com/recipe/85815/thai-red-chicken-curry/,Thai Red Chicken Curry Recipe - Allrecipes.com,"[""1 (14 ounce) can light coconut milk"",""1 cup sliced halved zucchini"",""1 onion, quartered then halved"",""1 pound skinless, boneless chicken breast halves - cut into thin strips"",""1 red bell pepper, seeded and sliced into strips"",""1 tablespoon Thai red curry paste"",""1 tablespoon cornstarch"",""1/2 cup sliced carrots"",""2 tablespoons chopped fresh cilantro"",""2 teaspoons olive oil""]",,
