,Unnamed: 0,recipe_urls,recipe_name,ingredients
886,1743,https://www.allrecipes.com/recipe/13965/curried-peas/,Curried Peas Recipe - Allrecipes.com,"[""1 1/2 teaspoons ground coriander seed"",""1 onion, chopped"",""1 pinch ground turmeric"",""1 pound fresh pea pods, shelled"",""1 small cinnamon stick"",""1 teaspoon chili powder"",""1/2 teaspoon cumin seeds"",""2 teaspoons ginger oil"",""4 teaspoons coconut milk"",""4 tomatoes, chopped"",""salt to taste""]"
887,1744,https://www.allrecipes.com/recipe/107289/curry-sauce/,Curry Sauce Recipe - Allrecipes.com,"[""1 (14.5 ounce) can diced tomatoes"",""1 tablespoon curry paste"",""1 tablespoon garam masala"",""1 tablespoon turmeric powder"",""1 teaspoon red pepper flakes"",""2 pounds onions, chopped"",""2 tablespoons cumin"",""3 tablespoons minced ginger"",""4 cloves garlic, minced""]"
888,1745,https://www.allrecipes.com/recipe/216866/grilled-lamb-chops-with-curry-apple-and-raisin-sauce/,"Grilled Lamb Chops with Curry, Apple and Raisin Sauce Recipe - Allrecipes.com","[""1 clove garlic, crushed"",""1 cup applesauce"",""1 tablespoon ground coriander"",""1 tablespoon ground cumin"",""1 tablespoon olive oil"",""1 tablespoon water, if needed (optional)"",""1 teaspoon dried thyme"",""1 teaspoon seasoned salt"",""1/2 lemon (including peel), seeded and finely chopped"",""1/4 cup butter"",""2 tablespoons curry powder, or to taste"",""2 teaspoons salt, or to taste"",""2 teaspoons white pepper"",""2/3 cup dark raisins"",""2/3 cup golden raisins"",""3 cups apples - peeled, cored, and chopped"",""3 cups chopped onion"",""6 (4 ounce) lamb chops""]"
889,1746,https://www.allrecipes.com/recipe/189352/indian-spiced-roasted-chickpeas/,Indian-Spiced Roasted Chickpeas Recipe - Allrecipes.com,"[""1 1/2 teaspoons ground cumin"",""1 pinch cayenne pepper, or to taste"",""1 pinch ground black pepper"",""1 tablespoon lemon juice"",""1 teaspoon brown sugar"",""1 teaspoon garam masala"",""1/2 teaspoon ground coriander"",""1/2 teaspoon salt, or to taste"",""1/4 teaspoon ground cinnamon"",""2 cups canned chickpeas, rinsed and drained"",""2 tablespoons olive oil""]"
890,1747,https://www.allrecipes.com/recipe/164193/indian-style-vegetable-rice/,Indian-Style Vegetable Rice Recipe - Allrecipes.com,"[""1 1/2 tablespoons ground black pepper"",""1 clove garlic, minced"",""1 cup chopped fresh broccoli"",""1 cup long grain rice"",""1 onion, finely chopped"",""1 tablespoon cayenne pepper"",""1 tablespoon salt, or to taste"",""1/2 carrot, chopped"",""1/2 cup chopped red bell pepper"",""1/2 cup corn kernels"",""1/2 cup fresh green beans, cut into 1 inch pieces"",""1/2 teaspoon ground turmeric"",""1/4 cup chopped fresh cilantro"",""1/4 cup roasted cashews"",""1/4 cup water"",""3 tablespoons corn oil"",""3 whole cloves"",""4 cups water""]"
891,1748,https://www.allrecipes.com/recipe/18218/dairy-free-cauliflower-fritters/,Dairy-Free Cauliflower Fritters Recipe - Allrecipes.com,"[""1 1/2 cups all-purpose flour"",""1 cup warm water"",""1 head cauliflower, broken into small florets"",""1 onion"",""1 teaspoon active dry yeast"",""1 teaspoon ground allspice"",""1 teaspoon ground cumin"",""1 teaspoon salt"",""1/2 teaspoon ground cinnamon"",""1/4 cup olive oil"",""1/4 cup vegetable oil"",""1/4 teaspoon ground black pepper"",""1/4 teaspoon ground cloves"",""1/4 teaspoon ground nutmeg"",""4 eggs"",""5 cloves garlic"",""7 sprigs fresh parsley""]"
892,1749,https://www.allrecipes.com/recipe/54799/egg-halwa/,Egg Halwa Recipe - Allrecipes.com,"[""1 cup milk"",""1 teaspoon semolina"",""1/2 cup dry milk powder"",""1/2 cup shortening"",""3/4 cup sugar"",""4 eggs, beaten"",""4 pods green cardamom""]"
893,1750,https://www.allrecipes.com/recipe/259091/spiced-mango-lassi/,Spiced Mango Lassi Recipe - Allrecipes.com,"[""1 cup frozen mango chunks"",""1 cup nonfat plain yogurt"",""1/2 teaspoon vanilla extract"",""1/4 cup mango juice"",""1/4 teaspoon ground cardamom"",""1/8 teaspoon ground cinnamon"",""1/8 teaspoon ground ginger"",""2 tablespoons honey""]"
894,1751,https://www.allrecipes.com/recipe/210634/bengaladumpa-vepudu-potato-stir-fry/,Bengaladumpa Vepudu (Potato Stir-Fry) Recipe - Allrecipes.com,"[""1 pound potatoes, peeled and cubed"",""1 sprig fresh curry leaves"",""1 tablespoon cumin seeds"",""1/2 teaspoon ground cumin"",""1/2 teaspoon ground red pepper"",""1/2 teaspoon mustard seeds"",""1/4 cup cooking oil"",""2 teaspoons skinned split black lentils (urad dal)"",""4 dried red chile peppers"",""salt to taste""]"
895,1752,https://www.allrecipes.com/recipe/212882/aloo-gobi-masala-cauliflower-and-potato-curry/,Aloo Gobi Masala (Cauliflower and Potato Curry) Recipe - Allrecipes.com,"[""1 head cauliflower, cut into 1-inch florets"",""1 onion, chopped"",""1 tablespoon olive oil"",""1 teaspoon cumin seeds"",""1 teaspoon curry powder"",""1 teaspoon salt"",""2 tomatoes, diced"",""3 potatoes, peeled and cut into 1-inch chunks""]"
